date,category,issue,name,price
2017-01-04,COMICS & GRAPHIC NOVELS,NOV162002,TWIN STAR EXORCISTS ONMYOJI GN VOL 07 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161403,UNDERWORLD BLOOD WARS (ONE SHOT),$6.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161687,VINLAND SAGA GN VOL 08 (C: 1-1-0),$22.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT162089,WITCH & WIZARD MANGA GN VOL 02 NEW PTG,$13.00
2017-01-04,COMICS & GRAPHIC NOVELS,NOV162004,WORLD TRIGGER GN VOL 14 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161688,YOUR LIE IN APRIL GN VOL 11 (C: 1-1-0),$10.99
2017-01-04,MAGAZINES,SEP161870,2000 AD PACK NOV 2016,$21.60
2017-01-04,MAGAZINES,OCT161747,2000 AD PROG #2010,$5.40
2017-01-04,MAGAZINES,OCT162209,COMICS REVUE PRESENTS DEC 2016 (C: 0-1-1),$19.95
2017-01-04,MAGAZINES,SEP162272,FAMOUS MONSTERS OF FILMLAND #281 GODZILLA VS CTHULHU VAR (C:,$9.99
2017-01-04,MAGAZINES,NOV162136,FAMOUS MONSTERS OF FILMLAND #282 ASH VS EVIL DEAD VAR (C: 0-,$9.99
2017-01-04,MAGAZINES,SEP162258,HI FRUCTOSE MAGAZINE QUARTERLY #42 (C: 0-1-1),$7.95
2017-01-04,MAGAZINES,OCT162228,MONSTER HIGH MAGAZINE #23,$4.99
2017-01-04,MAGAZINES,NOV162139,RUE MORGUE MAGAZINE #174 (RES) (C: 0-1-1),$9.95
2017-01-04,MAGAZINES,SEP162284,ULTIMATE SPIDER-MAN MAGAZINE #13,$4.99
2017-01-04,BOOKS,OCT162198,75 YEARS OF CAPITOL RECORDS HC (C: 0-1-0),$150.00
2017-01-04,BOOKS,OCT162174,9 MARVEL SUPER HERO TALES LITTLE GOLDEN BOOK HC (C: 0-1-0),$12.99
2017-01-04,BOOKS,NOV162100,A IS FOR AWFUL GRUMPY CAT ABC LITTLE GOLDEN BOOK (C: 0-1-0),$4.99
2017-01-04,BOOKS,SEP162245,ART OF FILM FANTASTIC BEASTS & WHERE FIND THEM HC (C: 0-1-0),$50.00
2017-01-04,BOOKS,NOV161970,ART OF MAGIC THE GATHERING HC KALADESH (C: 1-0-1),$39.99
2017-01-04,BOOKS,SEP162214,CAPTAIN MARVEL & ART OF NOSTALGIA HC,$65.00
2017-01-04,BOOKS,SEP162246,CASE OF BEASTS EXPLORE FILM WIZARDRY OF FANTASTIC BEASTS HC,$45.00
2017-01-04,BOOKS,NOV162118,DAVID BOWIE COLOR THE STARMAN SC VOL 01 (C: 0-1-0),$15.95
2017-01-04,BOOKS,OCT162168,DC SUPER FRIENDS COLD CAPER YR SC (C: 1-1-0),$4.99
2017-01-04,BOOKS,OCT162169,DC SUPER FRIENDS SHARK ATTACK YR SC (C: 1-1-0),$4.99
2017-01-04,BOOKS,OCT162170,DC SUPER FRIENDS WONDER WOMAN LITTLE GOLDEN BOOK HC (C: 1-1-,$9.99
2017-01-04,BOOKS,OCT162171,DC SUPER HERO GIRLS YR HC BATGIRL AT SUPER HERO HIGH (C: 0-1,$13.99
2017-01-04,BOOKS,OCT162172,DOCTOR STRANGE LITTLE GOLDEN BOOK (C: 0-1-0),$4.99
2017-01-04,BOOKS,NOV162120,ELVIRA MISTRESS OF THE DARK PHOTO BIOGRAPHY HC (C: 0-1-2),$44.95
2017-01-04,BOOKS,OCT162173,GUARDIANS OF GALAXY ROCKET TO RESCUE LITTLE GOLDEN BOOK (C:,$4.99
2017-01-04,BOOKS,SEP162247,INSIDE THE MAGIC MAKING FANTASTIC BEASTS & WHERE FIND THEM (,$19.99
2017-01-04,BOOKS,NOV162119,MASTERS OF SKETCHING SC (C: 0-1-0),$35.99
2017-01-04,BOOKS,NOV162094,MOVIE COMICS PAGE TO SCREEN SCREEN TO PAGE SC,$27.95
2017-01-04,BOOKS,OCT162199,SHADOW DOUBLE NOVEL VOL 113 LEGACY DEATH & DEVILS PARTNER,$14.95
2017-01-04,BOOKS,OCT162204,STAR WARS LITTLE GOLDEN BOOK I AM STORMTROOPER,$4.99
2017-01-04,BOOKS,OCT162200,STAR WARS ROGUE ONE NOVELIZATION HC (C: 1-1-0),$28.99
2017-01-04,BOOKS,NOV162971,WARHAMMER 40K SHIELD OF BAAL (C: 0-1-0),$17.00
2017-01-04,BOOKS,NOV162972,WARHAMMER 40K STRAKEN (C: 0-1-0),$16.00
2017-01-04,BOOKS,NOV162967,WARHAMMER CALL OF ARCHAON (C: 0-1-0),$16.00
2017-01-04,MERCHANDISE,AUG168355,ALIENS 7IN SCALE AF SERIES 10 ASST (C: 1-1-2),$343.84
